wager_id,captured_at,event_id,game_pk,official_date,commence_time,home_team,away_team,market,point,side,predicted_clv,price,book,book_updated_at,market_books,risk_bucket,model_version,market_offset_version,movement_model_version,movement_target,execution_status
clv|822697|side,2026-08-11T19:16:45Z,9032dbaaa6088fc03938418d3939db3c,822697,2026-08-11,2026-08-11T22:46:00Z,Washington Nationals,Chicago Cubs,h2h,,home,0.001428,162.0,FanDuel,2026-08-11T19:16:11Z,11,side,diamond-v1-glm-ed43494d864b-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|823019|side,2026-08-11T20:59:25Z,fc1d0b97ed35a31e5f1f60df77f6b377,823019,2026-08-11,2026-08-11T23:46:00Z,St. Louis Cardinals,Philadelphia Phillies,h2h,,home,0.001311,155.0,DraftKings,2026-08-11T20:58:10Z,11,side,diamond-v1-glm-11898078e157-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|824563|side,2026-08-11T20:59:25Z,bd7e76db673b0ad81d62b744ba2d18d1,824563,2026-08-11,2026-08-11T23:41:00Z,Chicago White Sox,Cincinnati Reds,h2h,,away,0.001183,142.0,FanDuel,2026-08-11T20:58:46Z,11,side,diamond-v1-glm-11898078e157-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|824886|side,2026-08-11T21:59:10Z,6da2466049f8fac0d952ce018080b949,824886,2026-08-11,2026-08-11T23:16:00Z,Atlanta Braves,New York Mets,h2h,,away,0.00101,117.0,DraftKings,2026-08-11T21:58:29Z,11,side,diamond-v1-glm-1bd62bf3e596-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|823186|side,2026-08-11T22:56:59Z,d428d967c67e52c95494a607b868366d,823186,2026-08-11,2026-08-12T01:46:00Z,San Francisco Giants,Houston Astros,h2h,,home,0.001637,167.0,DraftKings,2026-08-11T22:55:49Z,11,side,diamond-v1-glm-4dc2e4c6dbf6-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|823917|side,2026-08-11T23:21:27Z,2e165d36c5dd97967e8e9d1e53290d71,823917,2026-08-11,2026-08-12T02:11:00Z,Los Angeles Dodgers,Kansas City Royals,h2h,,away,0.002286,249.0,DraftKings,2026-08-11T23:20:21Z,11,side,diamond-v1-glm-74f8f17e39c1-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|824970|side,2026-08-11T23:21:27Z,a8daa29e08e678a1372a40bf9b3e2279,824970,2026-08-11,2026-08-12T01:41:00Z,Athletics,Tampa Bay Rays,h2h,,home,0.001546,175.0,Caesars,2026-08-11T23:20:05Z,11,side,diamond-v1-glm-74f8f17e39c1-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|823017|side,2026-08-12T16:07:06Z,99d0aa9944cae60f4cd020c7b883b0e9,823017,2026-08-12,2026-08-12T18:15:00Z,St. Louis Cardinals,Philadelphia Phillies,h2h,,home,0.001168,151.0,DraftKings,2026-08-12T16:06:29Z,11,side,diamond-v1-glm-409413c7f727-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|824967|side,2026-08-12T18:02:54Z,faaf742bd19eafaaa516aa4e78fa3900,824967,2026-08-12,2026-08-12T19:06:00Z,Athletics,Tampa Bay Rays,h2h,,home,0.001994,210.0,Caesars,2026-08-12T18:01:56Z,11,side,diamond-v1-glm-5a5fb1edb8d4-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
clv|823187|side,2026-08-12T18:02:54Z,f29dc80a9001791b4c29705a39d2237f,823187,2026-08-12,2026-08-12T19:46:00Z,San Francisco Giants,Houston Astros,h2h,,home,0.001066,135.0,Caesars,2026-08-12T18:01:56Z,11,side,diamond-v1-glm-5a5fb1edb8d4-features-50fd9812bfa1,market-logit-offset-v1,,,paper_quote
