game_pk,official_date,team_id,player_id,is_starter,outs,batters_faced,hits,runs,earned_runs,home_runs,walks,hit_batsmen,strike_outs,pitches,strikes
634615,2021-04-01,115,453268,0,3,6,1,0,0,0,1,1,2,24,18
634615,2021-04-01,119,477132,1,17,28,10,6,5,0,1,0,2,77,55
634615,2021-04-01,119,518397,0,4,5,0,0,0,0,0,0,0,22,14
634615,2021-04-01,119,519076,0,2,5,1,2,2,0,2,0,1,28,15
634615,2021-04-01,115,592346,0,6,11,5,3,3,0,1,0,2,42,26
634615,2021-04-01,119,608349,0,1,1,0,0,0,0,0,0,1,4,3
634615,2021-04-01,115,608566,1,12,21,6,1,1,0,6,0,2,92,51
634615,2021-04-01,115,622075,0,3,3,1,0,0,0,0,0,0,12,8
634615,2021-04-01,115,641755,0,3,5,2,1,1,0,0,0,0,20,13
634618,2021-04-01,135,453343,0,3,3,0,0,0,0,0,0,0,7,5
634618,2021-04-01,135,506433,1,14,23,8,4,4,2,1,0,6,93,64
634618,2021-04-01,109,518516,1,12,23,7,6,6,2,3,1,6,91,58
634618,2021-04-01,135,519141,0,3,4,1,0,0,0,0,0,3,21,15
634618,2021-04-01,109,592233,0,2,4,1,1,1,0,1,0,1,13,7
634618,2021-04-01,135,605309,0,3,4,1,0,0,0,0,0,1,12,9
634618,2021-04-01,109,622065,0,4,6,2,1,1,0,0,0,1,25,17
634618,2021-04-01,135,641941,0,3,3,0,0,0,0,0,0,1,20,14
634618,2021-04-01,109,656464,0,3,3,0,0,0,0,1,0,1,13,6
634618,2021-04-01,135,657612,0,1,4,2,3,0,2,0,0,1,16,11
634618,2021-04-01,109,664199,0,3,3,0,0,0,0,0,0,1,7,7
634622,2021-04-01,144,455119,0,3,4,1,0,0,0,0,0,1,13,10
634622,2021-04-01,144,518858,0,2,4,1,1,0,0,1,0,0,6,5
634622,2021-04-01,144,519293,0,3,3,0,0,0,0,0,0,3,14,9
634622,2021-04-01,144,554431,0,3,5,1,0,0,0,1,0,1,17,8
634622,2021-04-01,143,593576,0,3,3,0,0,0,0,0,0,1,15,11
634622,2021-04-01,143,605151,0,1,2,0,0,0,0,1,0,0,7,3
634622,2021-04-01,143,605400,1,20,27,6,2,2,1,0,0,6,84,62
634622,2021-04-01,144,608331,1,15,24,6,2,2,0,2,1,8,94,63
634622,2021-04-01,143,621237,0,3,6,1,0,0,0,1,1,3,21,12
634622,2021-04-01,144,621345,0,3,3,0,0,0,0,0,0,0,7,6
634622,2021-04-01,143,641401,0,3,2,0,0,0,0,0,0,0,7,5
634625,2021-04-01,137,459429,0,3,3,0,0,0,0,0,0,1,8,6
634625,2021-04-01,137,501625,0,0,3,0,1,0,0,3,0,0,16,4
634625,2021-04-01,137,592332,1,20,24,2,1,1,0,2,0,6,90,62
634625,2021-04-01,136,594835,1,18,27,8,5,5,3,3,0,2,99,58
634625,2021-04-01,136,594987,0,3,3,0,0,0,0,0,0,2,16,9
634625,2021-04-01,137,605538,0,0,3,2,3,3,0,1,0,0,14,7
634625,2021-04-01,136,606160,0,3,4,1,1,1,1,0,0,2,18,13
634625,2021-04-01,137,606424,0,1,3,0,2,2,0,2,0,1,20,9
634625,2021-04-01,137,643511,0,2,5,1,1,0,0,0,1,0,14,8
634625,2021-04-01,136,664948,0,3,3,0,0,0,0,0,0,0,12,8
634625,2021-04-01,137,670056,0,1,2,0,0,0,0,1,0,1,9,5
634625,2021-04-01,136,676684,0,3,6,1,1,0,0,1,0,1,29,15
634630,2021-04-01,118,451584,0,2,2,0,0,0,0,0,0,2,8,6
634630,2021-04-01,140,502043,1,1,8,4,5,5,0,3,0,1,32,17
634630,2021-04-01,118,518813,0,2,5,1,1,0,0,2,0,1,25,16
634630,2021-04-01,118,534910,0,3,6,1,1,1,0,1,1,2,23,10
634630,2021-04-01,118,605130,0,5,8,1,0,0,0,2,0,4,36,22
634630,2021-04-01,140,621129,0,3,8,4,3,3,1,1,0,2,38,23
634630,2021-04-01,140,621368,0,7,13,4,2,2,1,1,0,2,50,29
634630,2021-04-01,118,622092,0,2,3,0,0,0,0,1,0,2,15,7
634630,2021-04-01,140,622250,0,4,5,0,0,0,0,1,0,2,28,17
634630,2021-04-01,118,641745,1,4,14,9,6,6,0,2,0,0,51,30
634630,2021-04-01,140,663465,0,3,6,2,1,1,1,0,0,1,15,11
634630,2021-04-01,140,667463,0,3,3,0,0,0,0,0,0,0,11,8
634630,2021-04-01,118,672578,0,9,12,3,2,2,0,1,0,5,44,31
634630,2021-04-01,140,676969,0,3,8,1,3,3,0,2,2,0,26,15
634634,2021-04-01,112,519443,0,2,4,1,0,0,0,2,0,0,23,11
634634,2021-04-01,112,543294,1,9,16,4,3,3,1,3,0,4,63,38
634634,2021-04-01,112,571521,0,2,4,1,1,1,0,1,0,1,16,11
634634,2021-04-01,112,572193,0,1,2,0,0,0,0,1,0,1,12,6
634634,2021-04-01,112,592094,0,3,7,1,0,0,0,2,1,1,38,18
634634,2021-04-01,134,593144,0,3,4,0,0,0,0,1,0,2,14,8
634634,2021-04-01,112,595465,0,5,7,1,1,1,0,1,0,2,31,20
634634,2021-04-01,112,605177,0,2,4,1,0,0,0,1,0,0,14,8
634634,2021-04-01,134,605280,0,3,3,0,0,0,0,0,0,1,12,9
634634,2021-04-01,134,607572,0,3,3,0,0,0,0,0,0,3,13,9
634634,2021-04-01,134,608717,0,3,4,1,1,1,0,0,0,0,19,14
634634,2021-04-01,112,621219,0,3,3,0,0,0,0,0,0,1,17,10
634634,2021-04-01,134,621249,0,3,3,0,0,0,0,0,0,3,18,11
634634,2021-04-01,134,641771,1,9,14,1,2,1,0,3,0,2,63,33
634634,2021-04-01,134,670280,0,3,3,0,0,0,0,0,0,2,12,7
634636,2021-04-01,113,448281,0,3,4,1,0,0,0,0,0,2,15,11
634636,2021-04-01,113,592135,0,2,3,1,1,1,1,0,0,1,9,8
634636,2021-04-01,138,606149,0,3,3,0,0,0,0,0,0,2,19,12
634636,2021-04-01,113,607219,0,6,7,0,0,0,0,1,0,2,26,16
634636,2021-04-01,113,608334,0,6,6,0,0,0,0,0,0,2,23,15
634636,2021-04-01,138,621052,0,3,5,1,0,0,0,1,0,1,21,11
634636,2021-04-01,113,622491,1,10,21,8,10,8,1,2,1,0,73,52
