game_pk,official_date,season,home_elo,away_elo,elo_diff,home_off,home_def,away_off,away_def,home_recent_off,home_recent_def,away_recent_off,away_recent_def,home_rest,away_rest,rest_diff,home_games_played,away_games_played,home_sp_rate,away_sp_rate,home_sp_recent,away_sp_recent,home_sp_starts,away_sp_starts,home_sp_rest,away_sp_rest,park_factor,elevation_km,temp_c,air_density_index,wind_out_to_center_ms,wind_left_to_right_ms,precip_mm,roof_retractable,roof_dome,expected_home_runs_prior,expected_away_runs_prior
634615,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,1.5819100000000001,17.3,1.20689,3.323,-1.411,0.0,0,0,4.5,4.5
634618,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.00701,26.6,1.0441,2.397,4.705,0.0,0,0,4.5,4.5
634622,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0060999999999999995,10.8,0.98905,-3.876,5.143,0.0,0,0,4.5,4.5
634625,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,10.1,0.98809,-2.573,1.869,0.0,1,0,4.5,4.5
634630,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.26091000000000003,8.6,0.98996,-1.071,-0.327,0.0,0,0,4.5,4.5
634634,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18136000000000002,-0.1,0.94937,-7.397,4.804,0.0,0,0,4.5,4.5
634636,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.16307,1.5,0.95563,5.628,2.624,0.0,0,0,4.5,4.5
634638,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18197,2.6,0.96038,1.111,3.874,0.0,1,0,4.5,4.5
634640,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,17.2,1.01206,1.453,1.403,0.0,0,0,4.5,4.5
634642,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.01676,5.8,0.97342,3.122,5.633,0.1,0,0,4.5,4.5
634645,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18288,-0.3,0.95514,7.469,2.283,0.0,0,0,4.5,4.5
634652,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,25.2,1.04243,-1.114,-0.78,0.5,1,0,4.5,4.5
634655,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.046020000000000005,25.0,1.04557,2.223,2.029,0.0,0,0,4.5,4.5
634576,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.00701,15.3,1.00402,0.595,2.798,0.0,0,0,4.672351113755039,4.622777447286667
634578,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,9.4,0.97994,-1.87,3.671,0.0,1,0,4.672351113755039,4.622777447286667
634602,2021-04-02,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.390243902439025,4.414634146341464,4.414634146341464,4.390243902439025,0.0,1.0,1.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,20.4,1.01713,1.589,10.035,0.0,1,0,4.283164782867342,4.330887699120894
634605,2021-04-02,2021,1495.5542875278966,1504.4457124721034,15.108575055793153,4.414634146341464,4.585365853658536,4.585365853658536,4.414634146341464,1.0,8.0,8.0,1.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,12.4,0.99084,3.979,2.684,0.0,0,0,4.330887699120894,4.672351113755039
634627,2021-04-02,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0064,3.8,0.95795,2.256,2.689,0.0,0,0,4.5,4.5
634631,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.487804878048781,4.463414634146342,4.463414634146342,4.487804878048781,4.0,3.0,3.0,4.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.046020000000000005,19.4,1.0237,3.333,-0.564,0.0,0,0,4.47564280520854,4.4271267102914935
634653,2021-04-02,2021,1502.581369129744,1497.418630870256,29.162738259487924,4.585365853658536,4.512195121951219,4.512195121951219,4.585365853658536,8.0,5.0,5.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,1.5819100000000001,19.7,1.22396,-1.039,0.968,0.0,0,0,4.672351113755039,4.524423293013417
634573,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.463414634146342,4.439024390243903,4.439024390243903,4.463414634146342,3.0,2.0,2.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18288,9.1,0.99298,-3.99,-6.911,0.0,0,0,4.4271267102914935,4.378875008262279
634575,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.536585365853658,4.512195121951219,4.512195121951219,4.536585365853658,6.0,5.0,5.0,6.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18197,18.7,1.03506,2.78,-0.049,0.0,1,0,4.573468173706127,4.524423293013417
634577,2021-04-03,2021,1497.0361916852644,1502.9638083147356,18.07238337052877,4.390243902439025,4.463414634146342,4.463414634146342,4.390243902439025,0.0,3.0,3.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0064,6.9,0.96365,-0.607,4.318,0.0,0,0,4.283164782867342,4.4271267102914935
634580,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.463414634146342,4.439024390243903,4.439024390243903,4.463414634146342,3.0,2.0,2.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0060999999999999995,11.2,0.97761,-0.81,2.649,0.0,0,0,4.4271267102914935,4.378875008262279
634596,2021-04-03,2021,1496.1879981787638,1503.8120018212362,16.375996357527583,4.380952380952381,4.4523809523809526,4.4523809523809526,4.380952380952381,2.0,3.5,3.5,2.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,20.9,1.01497,-1.353,7.672,0.0,1,0,4.265054169816075,4.405265810027715
634604,2021-04-03,2021,1502.9968767528137,1497.0031232471863,29.99375350562741,4.7317073170731705,4.634146341463414,4.634146341463414,4.7317073170731705,14.0,10.0,10.0,14.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.26091000000000003,18.9,1.04016,5.221,-0.641,0.0,0,0,4.97534536320973,4.772291625355277
634623,2021-04-03,2021,1503.3201325807192,1496.6798674192808,30.640265161438492,4.571428571428571,4.5,4.5,4.571428571428571,6.0,4.5,4.5,6.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.00701,17.6,1.01014,-2.618,4.189,0.0,0,0,4.643990929705215,4.5
634629,2021-04-03,2021,1492.1955239168062,1507.8044760831938,8.391047833612447,4.428571428571429,4.690476190476191,4.690476190476191,4.428571428571429,3.0,8.5,8.5,3.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,13.6,0.98955,3.819,1.7,0.0,0,0,4.35827664399093,4.8890148652053425
634633,2021-04-03,2021,1498.697764389707,1501.302235610293,21.39552877941378,4.619047619047619,4.666666666666667,4.666666666666667,4.619047619047619,7.0,8.0,8.0,7.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,1.5819100000000001,21.8,1.23113,0.209,1.485,0.0,0,0,4.74124464600655,4.839506172839507
634639,2021-04-03,2021,1498.3063853934416,1501.6936146065584,20.612770786883175,4.5476190476190474,4.595238095238095,4.595238095238095,4.5476190476190474,5.5,6.5,6.5,5.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,13.8,0.99422,4.295,-2.48,0.0,1,0,4.595742000503905,4.69249181153943
634643,2021-04-03,2021,1497.6512374809092,1502.3487625190908,19.30247496181846,4.463414634146342,4.512195121951219,4.512195121951219,4.463414634146342,3.0,5.0,5.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18136000000000002,16.6,1.02451,8.036,2.304,0.0,0,0,4.4271267102914935,4.524423293013417
634644,2021-04-03,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.439024390243903,4.463414634146342,4.463414634146342,4.439024390243903,2.0,3.0,3.0,2.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.01676,7.8,0.96423,1.95,3.121,0.0,0,0,4.378875008262279,4.4271267102914935
634646,2021-04-03,2021,1497.8260205200254,1502.1739794799746,19.65204104005079,4.571428571428571,4.642857142857143,4.642857142857143,4.571428571428571,6.0,7.5,7.5,6.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.046020000000000005,19.9,1.02227,2.745,0.966,0.0,0,0,4.643990929705215,4.7902494331065775
634654,2021-04-03,2021,1496.1693333235414,1503.8306666764586,16.338666647082846,4.536585365853658,4.658536585365853,4.658536585365853,4.536585365853658,6.0,11.0,11.0,6.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.16307,15.2,1.0091,0.529,-5.032,0.0,0,0,4.573468173706127,4.822658470487143
634557,2021-04-04,2021,1497.2262079957563,1502.7737920042437,18.45241599151268,4.627906976744186,4.6976744186046515,4.6976744186046515,4.627906976744186,6.333333333333333,7.333333333333333,7.333333333333333,6.333333333333333,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,1.5819100000000001,24.0,1.23816,0.167,-0.514,0.0,0,0,4.759449552310559,4.904032209602789
634560,2021-04-04,2021,1498.8116330353487,1501.1883669646513,21.623266070697355,4.642857142857143,4.690476190476191,4.690476190476191,4.642857142857143,7.5,8.5,8.5,7.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.16307,17.5,1.02005,0.746,-1.065,0.0,0,0,4.7902494331065775,4.8890148652053425
634572,2021-04-04,2021,1507.113192609197,1492.886807390803,38.22638521839417,4.627906976744186,4.395348837209302,4.395348837209302,4.627906976744186,6.333333333333333,3.0,3.0,6.333333333333333,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.00701,20.1,1.01917,-0.666,4.208,0.0,0,0,4.759449552310559,4.293131422390481
634593,2021-04-04,2021,1506.7976170432619,1493.2023829567381,37.59523408652376,4.880952380952381,4.619047619047619,4.619047619047619,4.880952380952381,12.5,7.0,7.0,12.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.26091000000000003,22.9,1.05999,4.649,-2.168,0.0,0,0,5.294154698916604,4.74124464600655
634597,2021-04-04,2021,1498.9256834260468,1501.0743165739532,21.851366852093633,4.428571428571429,4.4523809523809526,4.4523809523809526,4.428571428571429,3.0,3.5,3.5,3.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18197,15.0,1.01974,-4.107,-0.143,0.0,1,0,4.35827664399093,4.405265810027715
634607,2021-04-04,2021,1500.5824473334362,1499.4175526665638,25.164894666872442,4.4523809523809526,4.428571428571429,4.428571428571429,4.4523809523809526,3.5,3.0,3.0,3.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.01676,13.3,0.99249,0.802,0.113,0.0,0,0,4.405265810027715,4.35827664399093
634610,2021-04-04,2021,1494.7247781432845,1505.2752218567155,13.449556286569077,4.333333333333333,4.4523809523809526,4.4523809523809526,4.333333333333333,1.0,3.5,3.5,1.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0064,12.0,0.98938,1.146,3.528,0.0,0,0,4.1728395061728385,4.405265810027715
634611,2021-04-04,2021,1503.8515628379212,1496.1484371620788,31.70312567584233,4.476190476190476,4.380952380952381,4.380952380952381,4.476190476190476,4.0,2.0,2.0,4.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18288,13.7,1.00965,-0.125,1.425,0.0,0,0,4.452506928697406,4.265054169816075
634613,2021-04-04,2021,1500.69146602254,1499.30853397746,25.382932045079997,4.476190476190476,4.428571428571429,4.428571428571429,4.476190476190476,4.0,3.0,3.0,4.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.18136000000000002,14.3,1.01653,-1.832,-3.757,0.0,0,0,4.452506928697406,4.35827664399093
634617,2021-04-04,2021,1504.2637721697618,1495.7362278302382,32.5275443395235,4.4523809523809526,4.333333333333333,4.333333333333333,4.4523809523809526,3.5,1.0,1.0,3.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0060999999999999995,16.5,1.00471,-1.605,1.982,0.0,0,0,4.405265810027715,4.1728395061728385
634637,2021-04-04,2021,1499.8990955904055,1500.1009044095945,23.798191180811045,4.5813953488372094,4.604651162790698,4.604651162790698,4.5813953488372094,5.666666666666667,6.0,6.0,5.666666666666667,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.046020000000000005,20.6,1.0273,3.273,-0.613,0.0,0,0,4.664262964966047,4.711736073553272
634651,2021-04-04,2021,1487.6949633939792,1512.3050366060208,-0.6100732120416978,4.348837209302325,4.790697674418604,4.790697674418604,4.348837209302325,2.3333333333333335,8.666666666666666,8.666666666666666,2.3333333333333335,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,1.0,0.0030499999999999998,14.1,0.99115,3.287,0.699,0.0,0,0,4.202752238447208,5.100174268373294
