snapshot_id,fetched_at,event_id,commence_time,date,home_team,away_team,market,point,book_key,book_title,region,priced,book_updated_at,price_home,price_away,devig_prob_home
20aa5aa2e2708de3e6fc,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,h2h,,draftkings,DraftKings,us,1,2026-08-25T15:54:29Z,126.0,-136.0,0.43433451118963484
de7cb87c4e4f2c533f28,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,spreads,1.5,draftkings,DraftKings,us,1,2026-08-25T15:54:29Z,-143.0,119.0,0.5630832299476779
364be28a4691701b9a5a,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,totals,7.0,draftkings,DraftKings,us,1,2026-08-25T15:54:29Z,-120.0,100.0,0.5217391304347826
ebdd73a167023743684c,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,h2h,,williamhill_us,Caesars,us,1,2026-08-25T15:52:42Z,125.0,-135.0,0.4361948955916473
67a2cb9916a7f14de2a5,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,spreads,1.5,williamhill_us,Caesars,us,1,2026-08-25T15:52:42Z,-140.0,118.0,0.5597945707997065
5eb9653608e99b053a39,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,totals,7.5,williamhill_us,Caesars,us,1,2026-08-25T15:52:42Z,105.0,-125.0,0.4675324675324675
fa478532a8310b3e32f2,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,h2h,,mybookieag,MyBookie.ag,us,1,2026-08-25T15:53:44Z,118.0,-139.0,0.4409431386295709
fbc100771437bd3719b3,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,spreads,1.5,mybookieag,MyBookie.ag,us,1,2026-08-25T15:53:44Z,-143.0,122.0,0.5664275773471791
06befb6218f163731727,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,totals,7.0,mybookieag,MyBookie.ag,us,1,2026-08-25T15:53:44Z,-120.0,-102.0,0.519280205655527
e719773be7dac6ed7f03,2026-08-25T15:55:07Z,209f31db8e00b79cd7185e2e0d10d825,2026-08-25T22:40:00Z,2026-08-25,Miami Marlins,Boston Red Sox,h2h,,fanduel,FanDuel,us,1,2026-08-25T15:54:29Z,130.0,-140.0,0.4270462633451957
